,geo,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,date,image_id,point_id,timestamp
48,,108,1295,2105,1103,1448,1481,1177,1689,3847,4957,5245,5171,5384,-9999,-9999,-9999,13,0,0,0,0,8,148,151,120,1301,2021-05-19,20210519T103021_20210519T103413_T32UNE,0,1621420561799
49,,204,7651,1507,1538,7849,7846,8014,8274,8160,8085,8499,7994,8635,-9999,-9999,-9999,0,100,0,0,1024,11,255,255,255,620,2021-05-22,20210522T104021_20210522T104323_T32UNE,0,1621680358441
50,,102,6307,5668,5299,5954,5852,5716,6177,6524,6683,7135,6670,11910,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1352,2021-05-24,20210524T102559_20210524T103253_T32UNE,0,1621852561756
51,,126,418,1414,610,358,499,264,736,3251,4706,4939,4925,5118,-9999,-9999,-9999,0,0,0,0,0,4,37,51,28,1237,2021-05-29,20210529T103021_20210529T103421_T32UNE,0,1622284562328
52,,137,1352,1833,1354,1267,1388,1204,1642,3273,4045,4222,4155,5725,-9999,-9999,-9999,11,0,0,0,2048,8,130,142,123,1436,2021-06-01,20210601T104021_20210601T104302_T32UNE,0,1622544358777
53,,204,1565,1987,1350,1948,1850,1545,1951,3491,4486,4679,4614,6718,-9999,-9999,-9999,22,0,0,0,2048,8,199,189,158,1908,2021-06-03,20210603T102559_20210603T102558_T32UNE,0,1622716562423
54,,120,191,1429,664,217,413,234,693,3075,4433,4559,4645,4711,-9999,-9999,-9999,0,0,0,0,0,4,23,43,25,1855,2021-06-08,20210608T103021_20210608T103106_T32UNE,0,1623148562231
55,,132,11648,5026,4279,10263,9792,9555,10163,9810,9627,9236,9398,15830,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2220,2021-06-11,20210611T104021_20210611T104218_T32UNE,0,1623408358532
56,,78,6969,5861,5128,7084,6762,6532,6959,7061,7177,7472,7114,10955,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1781,2021-06-13,20210613T102559_20210613T103528_T32UNE,0,1623580562580
57,,288,243,1641,770,319,541,352,848,3331,4864,4892,5169,5025,0,0,0,0,0,-9999,-9999,0,4,33,56,37,3017,2021-06-18,20210618T103021_20210618T103022_T32UNE,0,1624012561793
58,,204,11373,5595,3792,11342,11263,11269,11430,11135,11084,10971,10958,8869,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1307,2021-06-21,20210621T104021_20210621T104407_T32UNE,0,1624272358707
59,,114,7949,3422,3679,7513,6993,6657,7236,7163,7144,7398,6984,15571,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2146,2021-06-23,20210623T102559_20210623T102558_T32UNE,0,1624444562034
60,,120,334,1590,760,396,622,412,935,3158,4413,4531,4713,4600,-9999,-9999,-9999,0,0,0,0,0,4,41,64,43,2511,2021-06-28,20210628T103021_20210628T103429_T32UNE,0,1624876563175
61,,204,1328,2584,2137,1461,1990,2037,2473,3371,3740,3900,3858,6265,-9999,-9999,-9999,77,0,0,0,2048,9,149,203,208,1921,2021-07-01,20210701T104021_20210701T104440_T32UNE,0,1625136359977
62,,132,504,457,216,448,412,251,436,1217,1706,1682,1726,1891,-9999,-9999,-9999,0,0,0,0,0,4,46,43,26,2607,2021-07-03,20210703T102559_20210703T103127_T32UNE,0,1625308562913
63,,204,6176,1946,2077,5384,4956,4635,5213,5416,5469,5594,5434,15908,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2317,2021-07-08,20210708T103031_20210708T103351_T32UNE,0,1625740564263
64,,209,185,1196,595,329,608,504,1053,2292,2793,2863,3029,3428,-9999,-9999,-9999,1,0,0,0,0,4,34,63,52,2646,2021-07-11,20210711T104031_20210711T104217_T32UNE,0,1626000360928
65,,204,493,1545,916,692,919,866,1365,2288,2768,2851,3044,3326,-9999,-9999,-9999,4,0,0,0,2048,4,71,94,89,2656,2021-07-13,20210713T102559_20210713T103529_T32UNE,0,1626172563517
66,,174,690,2137,1331,848,1048,1229,1634,2090,2373,2531,2722,3355,-9999,-9999,-9999,0,0,0,0,0,5,87,107,125,2085,2021-07-18,20210718T103031_20210718T103025_T32UNE,0,1626604564821
67,,192,9203,6098,4519,9623,9596,9424,10078,9568,9285,9560,9079,14330,-9999,-9999,-9999,100,0,0,0,1024,9,243,255,255,1969,2021-07-21,20210721T104031_20210721T104323_T32UNE,0,1626864361315
68,,204,4640,3867,3626,4000,3700,3548,3910,4325,4701,4614,4782,6605,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1820,2021-07-23,20210723T102559_20210723T103037_T32UNE,0,1627036563563
69,,168,765,2625,1682,977,1176,1476,1786,2082,2324,2481,2695,3296,-9999,-9999,-9999,0,0,0,0,0,5,100,120,151,2052,2021-07-28,20210728T103031_20210728T103025_T32UNE,0,1627468564855
70,,204,-9999,1750,1348,3353,4250,4277,4554,4695,4842,4842,4882,-9999,-9999,-9999,-9999,0,5,0,0,1024,11,192,255,255,1558,2021-07-31,20210731T104031_20210731T104300_T32UNE,0,1627728361168
71,,144,2492,2848,1993,2281,2391,2438,2895,3622,4030,4146,4215,6312,-9999,-9999,-9999,73,0,0,0,0,8,232,243,246,1663,2021-08-02,20210802T102559_20210802T103533_T32UNE,0,1627900563003
72,,144,2633,3303,2973,2558,2752,2693,3198,3824,4071,4152,4176,8775,-9999,-9999,-9999,77,0,0,0,2048,9,236,248,250,2082,2021-08-07,20210807T103031_20210807T103108_T32UNE,0,1628332564300
73,,126,8466,2290,2538,7894,7531,7424,8120,7912,7750,7892,7626,15714,-9999,-9999,-9999,0,92,0,0,1024,8,255,255,255,1858,2021-08-10,20210810T104031_20210810T104220_T32UNE,0,1628592360531
74,,240,367,2040,1403,556,688,835,1024,1312,1517,1573,1671,2147,-9999,-9999,-9999,0,0,0,0,0,5,57,71,85,1783,2021-08-12,20210812T102559_20210812T103532_T32UNE,0,1628764561990
75,,204,4255,2246,2003,4698,4758,4789,5070,5331,5460,5872,5541,5914,-9999,-9999,-9999,13,2,0,0,1024,11,255,255,255,961,2021-08-17,20210817T103021_20210817T103024_T32UNE,0,1629196563921
76,,204,-9999,3770,2958,3803,7257,7012,7442,6964,6668,6653,6403,-9999,-9999,-9999,-9999,6,0,0,0,1024,9,128,255,255,2072,2021-08-20,20210820T104021_20210820T104404_T32UNE,0,1629456360224
77,,204,8528,1479,1668,8669,8533,8474,8669,8475,8480,8827,8325,11712,-9999,-9999,-9999,0,100,0,0,1024,8,255,255,255,742,2021-08-22,20210822T102559_20210822T103247_T32UNE,0,1629628560377
78,,114,6061,2552,2140,6219,6247,6301,6454,6583,6890,6847,6911,6558,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1209,2021-08-25,20210825T103619_20210825T103907_T32UNE,0,1629888356264
79,,204,10198,4188,2729,9577,8798,8389,8583,8049,7728,8661,7431,13888,-9999,-9999,-9999,63,0,0,0,1024,9,255,255,255,1102,2021-08-27,20210827T103021_20210827T103429_T32UNE,0,1630060563287
80,,84,294,2954,2428,668,921,1187,1445,1730,1929,2019,2114,2545,-9999,-9999,-9999,0,0,0,0,0,5,69,94,121,1576,2021-09-01,20210901T102559_20210901T103314_T32UNE,0,1630492558257
81,,144,1218,2824,2549,1472,1588,1600,1966,2630,2957,3097,3104,3969,-9999,-9999,-9999,13,0,0,0,0,8,151,162,164,1423,2021-09-04,20210904T103619_20210904T103659_T32UNE,0,1630752354377
82,,204,3332,2425,2064,2917,2935,2815,3221,3821,4083,4172,4228,7791,-9999,-9999,-9999,86,0,0,0,2048,9,255,255,255,1432,2021-09-06,20210906T103021_20210906T103518_T32UNE,0,1630924562030
83,,204,9116,4242,3243,8795,8030,7446,7701,7165,7082,7069,6783,10172,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,2620,2021-09-11,20210911T102559_20210911T103017_T32UNE,0,1631356557804
84,,204,1422,3329,2896,1728,2056,2187,2619,3369,3715,3846,3950,3508,-9999,-9999,-9999,95,0,0,0,0,9,177,210,223,1515,2021-09-16,20210916T103021_20210916T103056_T32UNE,0,1631788563210
85,,108,10017,4884,3345,9117,8436,7997,8355,7928,7671,8104,7479,14085,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1356,2021-09-19,20210919T104031_20210919T104412_T32UNE,0,1632048360318
86,,204,7704,2742,2701,7645,7641,7635,7400,7485,7755,7983,7720,3998,-9999,-9999,-9999,0,65,0,0,1024,8,255,255,255,-9999,2021-09-21,20210921T102639_20210921T102641_T32UNE,0,1632220558810
87,,204,9548,6207,4841,9849,9715,9559,9967,9450,9369,9368,9129,10419,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,1653,2021-09-24,20210924T103659_20210924T104424_T32UNE,0,1632480355994
88,,96,641,2117,1754,840,1025,1065,1385,2006,2275,2282,2427,3023,-9999,-9999,-9999,1,0,0,0,0,7,86,105,109,2104,2021-09-26,20210926T103031_20210926T103026_T32UNE,0,1632652565240
89,,96,744,1791,1408,1006,1172,1284,1504,1812,2001,2126,2117,3860,-9999,-9999,-9999,12,0,0,0,2048,8,103,120,131,1485,2021-10-01,20211001T102739_20211001T102820_T32UNE,0,1633084561041
90,,126,746,1528,1068,1112,1134,1042,1275,1685,1829,2291,1920,2697,-9999,-9999,-9999,11,0,0,0,0,7,114,116,107,1149,2021-10-06,20211006T102921_20211006T103433_T32UNE,0,1633516566519
91,,84,376,1327,983,600,703,691,949,1272,1417,1490,1507,2277,-9999,-9999,-9999,2,0,0,0,0,7,62,72,71,1172,2021-10-11,20211011T102849_20211011T103224_T32UNE,0,1633948562523
92,,204,12127,6455,4473,11894,11303,10712,11116,10851,10578,11388,10360,16028,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,842,2021-10-16,20211016T103031_20211016T103258_T32UNE,0,1634380566931
93,,204,6468,3430,2895,6909,6783,6623,6797,6637,6480,7070,6257,9352,-9999,-9999,-9999,100,0,0,0,1024,9,255,255,255,651,2021-10-21,20211021T102959_20211021T102953_T32UNE,0,1634812563076
